category,screen,object,property,en,es,suggested_es,suggestion_from,similarity,internal_id
<HMI screen>,ENG_Manual_Cyl_legacy,Start screen,Text ON,Start screen,Pantalla inicial,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z/oiFg+DTUtxxYYJtDOpCTVuAlnak/PgOSa6XcYvv3jSLDkQ2CODBBUypylXSVvVK0E0XPy6eHvoD+SDxph0GZA==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_1,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zSYGmd+WeKfNxHOLu6l2Cjo/NF1sq4nJEjUpUYYaOVWWW5yaPT0hXRldif3c2IxVBSnJJnwiosjT3eO4HgDQ5nw==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_4,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zjhAtNjPZo4+pMWIMAy3Nd0oGQb7pKl9cxisTxK2omBUQ9L5ykNcUK5CR5FuxndrWGrHTxsFDKVJEpuhsCHW2xg==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_6,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zFBq8hGk+QZBnfJPgpGZCid4RxZtont1GBb+bUQUqhr0yuajQPFY8mAz7xaoJu2tIvqJ7XqIXagZzNH4d0ami6A==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_2,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5ze7bY3YN5u9Mre4nU1WQ2VZX2uaIX++aBVY9k+6g2c/2RwYfEcmgvUMm+x4zAKVu3aEFj97H+DbCcXEy4+Htz6A==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_16,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zVhk3xVGkvBuEXnn+2VpyKVJr9IPNbB9VC+jsvXRPFGGy2yDATo7icZ07tuj80LqkYh/NKUrAl4BKRwKvyo8n8g==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_3,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zkzI548lLWP+VWSRqzJeGIsQ+2oJCHTVyxHD15nqoDP/noLwS4KNE7r+4r1Hx/zDIFzOj9tb2XK1yduyUdClOPw==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_12,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zuvVhErCNQJjRnZEGnm6iotx7zfEL5+pqRgm/HPr+2PKjq67FNU+Q1K/QcUjL/w0kbO0IyXck9a+5ATvl9Offtg==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_11,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zrN3dRTr19jwANphCVjGY+ZolEp2d9YxQCDEM4T1qWeowyZmY5U7Gp8QVMaIcGZfBPi0OVJ7LbEPwPHdJKx5VUg==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_10,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zJVuF+psogdekZzfTqqbmActx0xu8lTShr2L9fm4k9aKAFKb8mR5UaEdVPZ82lm+btoEZSvC80soB0nuLIXkIEg==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_8,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5za2NFmo/d8zFtGUBkObcjx3soL3S7jRUHUJLvuMgGwEWjs5+uUsKc4unLroYKzun7wMGBVh4He/A+BzOACR0irQ==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_7,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zPGHEW2INgvkVeLdLEuFQ66J8VTJj65WlnXsj3id5QXoCr6zsE3VMe534tBOR2+Th0+V3o6VJ/mbINomQ2g71ug==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_9,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zOyXgjGWF8ZfK1WbybLtKSBL82RuPH5uysRVWOnSpzAY8FEwqMTAReuL/0GKaqAvlvzGNfuAYK9iiOrk2EZUrmg==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_5,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zH0T1lRpuLCQRQ95RE6AwYP0TLCjaHVv8uOP7YC3LIN9+MlvvnUcITDznsictbZp4yUZW0m1STotZrUeRGe94/g==
<HMI screen>,ENG_Manual_Cyl_legacy,Button_17,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zqWCC+VUtmktx1lkJ8qc6DHzxPFCmxx2JK3q+irO2O88VXGQWbQXx0TGuyUXB4GDFiLDw8paPaXKqtusTTxIY0w==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_16,Text,Tolerance,Tolerancia,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zWwewNuP2BSINS1MkkHRIFoDSQoWGUjmo8lYwGqrIw1nk8SibI9dd2t1pz4eractVL5xu9pZIVqxaK4w9DoORhA==
<HMI screen>,ENG_Manual_Cyl_legacy,Text field_5,Text,Tolerance,Tolerancia,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zIi12Fm1XymNUiZoE8JXnofSEehUuucvuhMM6x4b1KsRQlAHDtcHCIiZ4FuhueIR9t3tFHGGN7MzaQ6vqpdbcgw==
<HMI screen>,ENG_Manual_Home,Button_17,Text OFF,MDI,MDI,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zu5t6vwxw3TrcxLEnWd3L7VF3LGRo/MVmnymg2HaUgrl5L77maIQ4aYomklfoR65bWLKGX2nOP8bCgPlpGySCzg==
<HMI screen>,ENG_Manual_Home,Button_16,Text OFF,Power,Potencia,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zga4lSeR1k8Kxey8OfobpuLfww8g39VP1j9MinSCHcvRzTNPW/pkxTu5/4YPLD57d5m/TNM8C6B6k8iSNqwdjXg==
<HMI screen>,ENG_Manual_Home,Button_16,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zpRQgpGEfENrdnaezcp/IjNftR4g/SOKL/LDXjjjfcjxqhN6FWg22Wx+8rQDQDUu28OSFfIHv2JzhfIZgztHSJg==
<HMI screen>,ENG_Manual_Home,Button_8,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zt1sJOCuF+vnERQxdiwu30OqOWYU68pXgDY/x9zszH+NzJUax6iExSGmKq51d7fhONSPPDecnLwr/yZ64r3QeaA==
<HMI screen>,ENG_Manual_Home,Button_7,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z2eKkxHWyiMw7wotWTuVbe4VMASnYpsHRODXG4nR7+lcckjeXtPN15TFgRL6o7cEX9jc6kDWUsvPNzoqLL3inSg==
<HMI screen>,ENG_Manual_Home,Button_6,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zZtpOuA86A15mCWO7k12WHkOlNtZtUwCnMggF1iu7g9lyb768GAoeE+QzAjRMQ42e2aEBwbpW4See4bbcTLua9Q==
<HMI screen>,ENG_Manual_Home,Button_5,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5z1ACQ6UDizWEPFJJpXJVniVWHUxznrzIHTdzlGzCbzg4OYV9HvZ8/QQPXSe2efBGFkaZR5TTryPw9XpcPACdytQ==
<HMI screen>,ENG_Manual_Home,Button_17,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zvVHijscELOgkUmIoeuieD41vozZNfxBuRAftIJOrtBDeFuJ9Zv4XiZDq18vdUKSj5wiRkV0YQjx1nsy1S9WNEg==
<HMI screen>,ENG_Manual_Jog,Button_18,Text OFF,MDI,MDI,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zFMZ6PDhF9gujim/KaH6K8EJR/OZARDR7IFZIdonBkyQtgfArOtYuZb2hL35NTru6mCZq+MgL8h232ISWqOM5Zw==
<HMI screen>,ENG_Manual_Jog,Button_16,Text OFF,PUSH,PULSAR,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zWUqKQa/Z5Y6K5DD3PyOufbjgv634OeZ70N7rBfU02xei7HOOcdtuF9vb6IknL7ZZj+cmbIowvDwcn84bQrQ66Q==
<HMI screen>,ENG_Manual_Jog,Button_15,Text OFF,PUSH,PULSAR,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zEIAWRAVjmd1IKTGj20kmTiDq8T0oody50oZD8m2OfmI/hXr3u3NPijOupl/Y5EBFI5yqBhlH91z/iLq4nhfCjA==
<HMI screen>,ENG_Manual_Jog,Button_17,Text OFF,Power,Potencia,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zd4aiN9ho2FyJpRHeQ/+Pj9zBXSFW4azrHvWoaq6uf6j0rk13O41bUjC5/DYphNQAuUKVkMHb2LoOz14IewPrng==
<HMI screen>,ENG_Manual_Jog,Button_17,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zKznFHfcGQWxSurWMslGY1ryFJXol/Xjxx833Va3G1EIYc0w2iIdT/ip63akVvqP8xkqfke7gRdtIcmpxgwiQsA==
<HMI screen>,ENG_Manual_Jog,Button_18,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zhi7WVTOqwAfKDZpPvT64MEQSeM+MAeTxwhu55RT9VzUnO0ARC++uGR8pgELXKo9NXD5OaeRbtMRWxGg/wNvX7Q==
<HMI screen>,ENG_Manual_Jog,Button_15,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zeqiOIvE3jfMcFRSwr2rwVcCRC5eI0k4lJXZbshg8/ivi2LRQDom+a7/NrVWsLGB8+RdslIAGrA1vdF45unuFSw==
<HMI screen>,ENG_Manual_Jog,Button_16,Text ON,Text,Text,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zB21bjw/4JH/74V98u3syGzEQSmDU3jZ4ayiRS03khwRvi3L98yUiWLB8937qZXTu6OmZgNtTmrfnGiW3JUAdcg==
<HMI screen>,ENG_Manual_MDI,Template_Button_4,Text OFF,Auto,Auto,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zmaeWNAbQrzD9TuM22kHKlvOjCI4HUPmiN2d+qgnrxg+WTEPyDnvO5EW9KCF0E0sLCp0gtdOAyG7BVVM0paEZ9A==
<HMI screen>,ENG_Manual_MDI,Text field_5,Text,CMD,CMD,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zJS/wiQeaYeP5qArMrw2NBbI4QF3v3o/wFxFQ4ehE9OmAwHa22iRYxo56BqcptotCfp6IfNxmGn6LqeughDP/Sg==
<HMI screen>,ENG_Manual_MDI,Template_Text field_1,Text,Company Name: EMS Metal Working Machinery,Empresa: EMS Metal Working Machinery,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zBmyMggU2BiAZ9ZTt/0W4vrkKYKGHISIds/FZvteSv8x/mNW3BaYIaGagaCMH5pXCtMPX/N6t7ZJSNL7fwPVBTA==
<HMI screen>,ENG_Manual_MDI,Text field_2,Text,Defined Ones,Definidos,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zhImwIaFYzox+OC3se2yaO5aaviaIqq2Cpndpp2MEo/NUECAO+vWkf+jy4iE11uAR4V/Q0MfK59fe1OFknFJFvw==
<HMI screen>,ENG_Manual_MDI,Button_1,Text OFF,Execute,Ejecutar,Ejecutado,Executed,0.93,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zedUiWDT8EytlsltWbmHXBr0LuRNvZ/++5tm/4FKqQZ1/VhDk/vKl5/5uyzTk037rNWDUAjn77eJ/+bp7Ue8X8w==
<HMI screen>,ENG_Manual_MDI,Text field_4,Text,M,M,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zMuaQfSt+Rw5K4QR1TsYPZD2WL5GHS1MYWbY1qUy0zr7UeB50EZKdeEqWhoCLTrFvhqukPcueNlFBpt3dCSixxA==
<HMI screen>,ENG_Manual_MDI,Text field_10,Text,M40 P1 = Back Support Extend,M40 P1 = Extender soporte trasero,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zivKBIpMP0y569sJ/ERqhdfc4TD+zt41lwRt2wHfyAPF/48NX7GGH220RZAJSdU6B3d6MZZJlGep1g9ih7j9dIA==
<HMI screen>,ENG_Manual_MDI,Button_2,Text OFF,M40-P1,M40-P1,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zsq0ixKeGq/ASTf+ZlRlJ5MooLB7kpaIeYqRtQ12vdIvMpZ3b+S/KZjUohZNEMJXbEZDd/EmAc6LtXnWaJH/H/g==
<HMI screen>,ENG_Manual_MDI,Text field_7,Text,M41 P1 = Back Support Relax,M41 P1 = Relajar soporte trasero,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zmrksgeynbAwXyZ4TXNsz3V4/29vIDQZvbN8Ikl7CnzwhXTPKzb8wNo2eY9jZD3QwoMtAZ5DBtQUUPOk5zY0PQg==
<HMI screen>,ENG_Manual_MDI,Text field_8,Text,M41 P2 = Back Support Retract,M41 P2 = Retraer soporte trasero,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zto3PNM9e8+9d/CYyFCe0P+VNpYoEmngT68bjWucAa0Wn8NB0pnCIKg76NvpWZQDYB6nVm8ePjl5F2bzOYKnGPg==
<HMI screen>,ENG_Manual_MDI,Text field_9,Text,M41 P3 = Back Support Reset,M41 P3 = Reiniciar soporte trasero,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zUE/EToZYJNGjBO9LYWgInPngJfhTQ2MFFDTte7BcUlYkYkTY8eaGOO+xZp4urSCRAxeF3XBeylkbMFIHwgBD9w==
<HMI screen>,ENG_Manual_MDI,Button_4,Text OFF,M41-P1,M41-P1,,,,n/fiIMPodCJHUZtr3ddTszBEeIWAgtikKuKlhseZxdqrRtsmxLK+9M6S1UsgtILTpWDoZLIRIN0FDzcSJSsDAimdAddl6Q4U5yoxYgDk0rYFzEElj6855inznkKy0gcQDVyDtW4LF/HTp4POE9dId4mOCZE2JLEBs62LeGnSlPcKM1DgmCvcMKs331bq9y5zE/ILOZ1uvy2reZ82cfqy1uDlgc5LkLPIZH3IrcafiRIeSn60UBh4P5AsT7vFXiI+Z6SfeZSSBYrTJ57WTa64Fw==
